trimesh\util.py:2064: DeprecationWarning: Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated since Python 3.3, and in 3.10 it will stop working
2021-11-21 21:14:56,205 - DEBUG - [MainThread] UM.Logger.debug [122]: User is not logged in for Cloud API request to https://api.ultimaker.com/cura-packages/v1/cura/v7.8.0/packages/package-updates?installed_packages=CameraTool:1.0.1&installed_packages=GenericCPE:1.4.0&installed_packages=PolyWoodPLA:1.0.1&installed_packages=GenericTPU:1.4.0&installed_packages=UltimakerTPU:1.4.0&installed_packages=VertexDeltaTPU:1.4.0&installed_packages=GCodeReader:1.0.1&installed_packages=UltimakerCPEP:1.4.0&installed_packages=VersionUpgrade42to43:1.0.0&installed_packages=GenericGFFPA:1.4.0&installed_packages=CuraProfileWriter:1.0.1&installed_packages=UltimakerPC:1.4.0&installed_packages=TranslateTool:1.0.1&installed_packages=GenericNylon:1.4.0&installed_packages=CuraBlenderPlugin:0.3.3&installed_packages=GenericBAM:1.4.0&installed_packages=GCodeProfileReader:1.0.1&installed_packages=OctofiberPLA:1.0.1&installed_packages=UltimakerCPE:1.4.0&installed_packages=UltimakerBAM:1.4.0&installed_packages=SentryLogger:1.0.0&installed_packages=UpdateChecker:1.0.1&installed_packages=GenericGFFCPE:1.4.0&installed_packages=DagomaChromatikPLA:1.0.1&installed_packages=VertexDeltaPLA:1.4.0&installed_packages=GenericCFFCPE:1.4.0&installed_packages=IMADE3DJellyBOXPLA:1.0.1&installed_packages=VersionUpgrade40to41:1.0.1&installed_packages=FABtotumTPU:1.4.0&installed_packages=CuraDrive:1.2.0&installed_packages=VersionUpgrade35to40:1.0.0&installed_packages=UltimakerPP:1.4.0&installed_packages=MirrorTool:1.0.1&installed_packages=GenericPLA:1.4.0&installed_packages=GenericABS:1.4.0&installed_packages=VersionUpgrade21to22:1.0.1&installed_packages=PrepareStage:1.0.1&installed_packages=PolyMaxPLA:1.0.1&installed_packages=UltimakerABS:1.4.0&installed_packages=UFPWriter:1.0.1&installed_packages=CuraProfileReader:1.0.1&installed_packages=GCodeGzReader:1.0.1&installed_packages=VersionUpgrade25to26:1.0.1&installed_packages=GCodeGzWriter:1.0.1&installed_packages=IMADE3DJellyBOXPETG:1.0.1&installed_packages=VersionUpgrade460to462:1.0.0&installed_packages=PreviewStage:1.0.1&installed_packages=VersionUpgrade34to35:1.0.1&installed_packages=VertexDeltaPET:1.4.0&installed_packages=3MFReader:1.0.1&installed_packages=SimpleView:1.0.1&installed_packages=VersionUpgrade44to45:1.0.0&installed_packages=UFPReader:1.0.0&installed_packages=UltimakerPVA:1.4.0&installed_packages=ModelChecker:1.0.1&installed_packages=MonitorStage:1.0.1&installed_packages=RotateTool:1.0.1&installed_packages=OBJWriter:1.0.1&installed_packages=VersionUpgrade47to48:1.0.0&installed_packages=Filo3DPLA:1.0.1&installed_packages=SimulationView:1.0.1&installed_packages=FiberlogyHDPLA:1.0.1&installed_packages=ScaleTool:1.0.1&installed_packages=SupportEraser:1.0.1&installed_packages=GenericToughPLA:1.4.0&installed_packages=GenericHIPS:1.4.0&installed_packages=LocalContainerProvider:1.0.1&installed_packages=GCodeWriter:1.0.1&installed_packages=ImageReader:1.0.1&installed_packages=GenericPP:1.4.0&installed_packages=CalibrationShapes:1.3.3&installed_packages=FirmwareUpdater:1.0.1&installed_packages=GenericCPEPlus:1.4.0&installed_packages=AMFReader:1.0.0&installed_packages=SelectionTool:1.0.1&installed_packages=VersionUpgrade45to46:1.0.0&installed_packages=PolyFlexPLA:1.0.1&installed_packages=TrimeshReader:1.0.0&installed_packages=RemovableDriveOutputDevice:1.0.1&installed_packages=MachineSettingsAction:1.0.1&installed_packages=GenericCFFPA:1.4.0&installed_packages=FileLogger:1.0.1&installed_packages=UltimakerPLA:1.4.0&installed_packages=UM3NetworkPrinting:1.0.1&installed_packages=VersionUpgrade49to410:1.0.0&installed_packages=3MFWriter:1.0.1&installed_packages=GenericPVA:1.4.0&installed_packages=STLReader:1.0.1&installed_packages=FABtotumNylon:1.4.0&installed_packages=VersionUpgrade27to30:1.0.1&installed_packages=FABtotumABS:1.4.0&installed_packages=GenericPETG:1.4.0&installed_packages=PolyPlusPLA:1.0.1&installed_packages=SliceInfoPlugin:1.0.1&installed_packages=VersionUpgrade43to44:1.0.0&installed_packages=PerObjectSettingsTool:1.0.1&installed_packages=USBPrinting:1.0.2&installed_packages=GenericPC:1.4.0&installed_packages=VersionUpgrade30to31:1.0.1&installed_packages=VersionUpgrade32to33:1.0.1&installed_packages=LocalFileOutputDevice:1.0.1&installed_packages=VersionUpgrade462to47:1.0.0&installed_packages=VersionUpgrade41to42:1.0.0&installed_packages=XmlMaterialProfile:1.0.1&installed_packages=STLWriter:1.0.1&installed_packages=UltimakerMachineActions:1.0.1&installed_packages=OBJReader:1.0.1&installed_packages=FirmwareUpdateChecker:1.0.1&installed_packages=X3DReader:1.0.1&installed_packages=VersionUpgrade22to24:1.0.1&installed_packages=VersionUpgrade48to49:1.0.0&installed_packages=VersionUpgrade411to412:1.0.0&installed_packages=DigitalLibrary:1.1.0&installed_packages=VertexDeltaABS:1.4.0&installed_packages=CuraEngineBackend:1.0.1&installed_packages=VersionUpgrade26to27:1.0.1&installed_packages=FABtotumPLA:1.4.0&installed_packages=SolidView:1.0.1&installed_packages=XRayView:1.0.1&installed_packages=UltimakerNylon:1.4.0&installed_packages=VersionUpgrade33to34:1.0.1&installed_packages=PostProcessingPlugin:2.2.1&installed_packages=UltimakerTPLA:1.4.0&installed_packages=ConsoleLogger:1.0.1&installed_packages=Toolbox:1.0.1&installed_packages=LegacyProfileReader:1.0.1
2021-11-21 21:14:56,228 - DEBUG - [MainThread] cura.CuraApplication.run [857]: Booting Cura took 37.006996154785156 seconds
2021-11-21 21:14:56,231 - DEBUG - [JobQueueWorker [1]] cura.Machines.ContainerTree.run [174]: Started background loading of MachineNodes
2021-11-21 21:14:56,337 - DEBUG - [MainThread] cura.Machines.Models.CustomQualityProfilesDropDownMenuModel._update [33]: Updating CustomQualityProfilesDropDownMenuModel.
2021-11-21 21:14:56,552 - DEBUG - [MainThread] cura.Machines.Models.QualityProfilesDropDownMenuModel._update [58]: Updating QualityProfilesDropDownMenuModel.
2021-11-21 21:14:56,745 - DEBUG - [JobQueueWorker [1]] cura.Machines.ContainerTree.run [185]: All MachineNode loading completed
2021-11-21 21:14:56,906 - DEBUG - [MainThread] cura.Machines.Models.QualityProfilesDropDownMenuModel._update [58]: Updating QualityProfilesDropDownMenuModel.
2021-11-21 21:14:56,920 - DEBUG - [MainThread] cura.Machines.Models.CustomQualityProfilesDropDownMenuModel._update [33]: Updating CustomQualityProfilesDropDownMenuModel.
2021-11-21 21:14:57,646 - DEBUG - [MainThread] UM.Qt.QtRenderer._initialize [210]: Support for Vertex Array Objects: True
2021-11-21 21:14:57,695 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [112]: Initialized OpenGL subsystems.
2021-11-21 21:14:57,703 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [113]: OpenGL Version:  3.3.0
2021-11-21 21:14:57,710 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [114]: OpenGL Vendor:   NVIDIA Corporation
2021-11-21 21:14:57,718 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [115]: OpenGL Renderer: GeForce GT 330M/PCIe/SSE2
2021-11-21 21:14:57,726 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [116]: GLSL Version:    3.0.0
2021-11-21 21:14:57,736 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\default.shader]...
2021-11-21 21:14:57,761 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\selection.shader]...
2021-11-21 21:14:57,782 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\select_face.shader]...
2021-11-21 21:14:57,803 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\default.shader]...
2021-11-21 21:14:57,814 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\composite.shader]...
2021-11-21 21:14:57,840 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\overhang.shader]...
2021-11-21 21:14:57,856 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\striped.shader]...
2021-11-21 21:14:57,871 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\transparent_object.shader]...
2021-11-21 21:14:57,883 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\striped.shader]...
2021-11-21 21:14:57,895 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\xray.shader]...
2021-11-21 21:14:57,918 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\xray_composite.shader]...
2021-11-21 21:14:57,943 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\default.shader]...
2021-11-21 21:14:57,956 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\grid.shader]...
2021-11-21 21:14:57,977 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\platform.shader]...
2021-11-21 21:14:58,031 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [60]: Loading [C:\Program Files\Ultimaker Cura 4.12.1\resources\shaders\xray.shader]...
2021-11-21 21:15:01,163 - INFO - [MainThread] cura.Machines.MachineErrorChecker._setResult [213]: Error check finished, result = False, time = 10.6s
2021-11-21 21:15:04,432 - DEBUG - [MainThread] cura.TaskManagement.OnExitCallbackManager.triggerNextCallback [51]: No more on-app-exit callbacks to process. Tell the app to exit.
2021-11-21 21:15:04,440 - INFO - [MainThread] cura.CuraApplication.closeApplication [611]: Close application
2021-11-21 21:15:04,448 - INFO - [MainThread] UM.Logger.info [128]: Initializing Active Machine...
2021-11-21 21:15:04,505 - DEBUG - [MainThread] cura.Machines.Models.NozzleModel._update [28]: Updating NozzleModel.
2021-11-21 21:15:04,514 - DEBUG - [MainThread] cura.Machines.Models.NozzleModel._update [28]: Updating NozzleModel.
2021-11-21 21:15:04,536 - DEBUG - [MainThread] cura.Machines.Models.NozzleModel._update [28]: Updating NozzleModel.
2021-11-21 21:15:04,545 - DEBUG - [MainThread] cura.Machines.Models.NozzleModel._update [28]: Updating NozzleModel.
2021-11-21 21:15:04,959 - DEBUG - [MainThread] UM.Qt.QtApplication.windowClosed [485]: Shutting down cura
2021-11-21 21:15:05,170 - DEBUG - [MainThread] CuraEngineBackend.CuraEngineBackend._terminate [354]: Attempting to kill the engine process
2021-11-21 21:15:05,172 - DEBUG - [MainThread] CuraEngineBackend.CuraEngineBackend._terminate [360]: Killing engine process
2021-11-21 21:15:05,181 - DEBUG - [MainThread] CuraEngineBackend.CuraEngineBackend._terminate [363]: Engine process is killed. Received return code 1
2021-11-21 21:15:05,250 - WARNING - [MainThread] UM.Qt.QtApplication.__onQmlWarning [421]: file:///C:/Program Files/Ultimaker Cura 4.12.1/resources/qml/PrintSetupSelector/Custom/QualitiesWithIntentMenu.qml:168:25: QML Binding: Not restoring previous value because restoreMode has not been set.
This behavior is deprecated.
You have to import QtQml 2.15 after any QtQuick imports and set
the restoreMode of the binding to fix this warning.
In Qt < 6.0 the default is Binding.RestoreBinding.
In Qt >= 6.0 the default is Binding.RestoreBindingOrValue.

2021-11-21 21:15:05,273 - WARNING - [MainThread] UM.Qt.QtApplication.__onQmlWarning [421]: file:///C:/Program Files/Ultimaker Cura 4.12.1/qml/UM/Preferences/PreferencesDialog.qml:113: TypeError: Cannot read property 'resetEnabled' of null
